icsad_ID,hyperlink,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
798,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-334-01,11/30/2017,No Updates,2017,ICSA-17-334-01,Siemens SWT3000,Siemens,SWT3000,Siemens reports that the vulnerabilities affect the following SWT 3000 Teleprotection system products: EN100 for SWT3000 (iSWT3000): IEC 61850 firmware: All versions prior to V4.29.01 TPOP firmware: All versions prior to V01.01.00.,CVE-2016-4784; CVE-2016-4785; CVE-2016-7112; CVE-2016-7113; CVE-2016-7114,5.3,Medium,CWE-288; CWE-287; CWE-20,Energy,Worldwide,Germany
797,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-334-02,11/30/2017,10/25/2018,2017,ICSA-17-334-02,GEOVAP Reliance SCADA,GEOVAP,Reliance SCADA,The following versions of Reliance SCADA - software management platforms are affected: Reliance SCADA Version 4.7.3 Update 2 and prior.,CVE-2017-16721,6.1,Medium,CWE-79,Critical Manufacturing; Energy; Transportation; Water and Wastewater,Worldwide,Czech Republic
796,https://www.cisa.gov/uscert/ics/advisories/ICSMA-17-332-01,11/28/2017,12/1/2017,2017,ICSMA-17-332-01,Ethicon Endo-Surgery Generator G11 Vulnerability,Ethicon,Endo-Surgery Generator G11,"The following versions of the Ethicon Endo-Surgery Generator Gen11 are affected: Ethicon Endo-Surgery Generator Gen11 | all versions released before November 29, 2017.",CVE-2017-14018,4.8,Medium,CWE-287,Healthcare and Public Health,Worldwide,United States
795,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-325-01,11/21/2017,No Updates,2017,ICSA-17-325-01,PHOENIX CONTACT WLAN Capable Devices using the WPA2 Protocol,PHOENIX CONTACT,WLAN Capable Devices using the WPA2 Protocol,PHOENIX CONTACT reports that these vulnerabilities affect all versions of the following WLAN capable devices using the WPA2 Protocol: BL2 BPC | BL2 PPC | FL COMSERVER WLAN 232/422/485 | FL WLAN 110x | FL WLAN 210x | FL WLAN 510x | FL WLAN 230 AP 802-11 | FL WLAN 24 AP 802-11 | FL WLAN 24 DAP 802-11 | FL WLAN 24 EC 802-11 | FL WLAN EPA | FL WLAN SPA | ITC 8113 | RAD-80211-XD | RAD-WHG/WLAN-XD | TPC 6013 | VMT 30xx | VMT 50xx and VMT 70xx.,CVE-2017-13080; CVE-2017-13078; CVE-2017-13077,6.8,Medium,CWE-323,Communications; Critical Manufacturing; Information Technology,Worldwide,Germany
794,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-320-01,11/16/2017,No Updates,2017,ICSA-17-320-01,"Moxa NPort 5110, 5130, and 5150",Moxa,"NPort 5110, 5130, and 5150",The following versions of NPort - serial network interface are affected: NPort 5110 Version 2.2 | NPort 5110 Version 2.4 | NPort 5110 Version 2.6 | NPort 5110 Version 2.7 | NPort 5130 Version 3.7 and prior and NPort 5150 Version 3.7 and prior.,CVE-2017-16719; CVE-2017-16715; CVE-2017-14028,8.6,High,CWE-200; CWE-74; CWE-400,Critical Manufacturing; Dams; Energy; Transportation,Worldwide,Taiwan
793,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-320-02,11/16/2017,No Updates,2017,ICSA-17-320-02,Siemens SICAM,Siemens,SICAM,Siemens reports that the vulnerabilities affect the following SICAM products: SICAM RTUs SM-2556 COM Modules with the firmware variants ENOS00 | ERAC00 | ETA2 | ETLS00 | MODi00 | DNPi00: All versions.,CVE-2017-12737; CVE-2017-12738; CVE-2017-12739,9.8,Critical,CWE-94; CWE-79; CWE-306,Energy,Worldwide,Germany
792,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-318-01,11/14/2017,4/9/2019,2017,ICSA-17-318-01,"Siemens SCALANCE, SIMATIC, RUGGEDCOM, and SINAMICS Products (Update F)",Siemens,"SCALANCE, SIMATIC, RUGGEDCOM, and SINAMICS Products",Siemens reports that the key reinstallation attacks (KRACK) potentially affect the following Siemens industrial products: RUGGEDCOM RS9xxW: All versions | RUGGEDCOM RX1400 with WLAN interface: All versions prior to v2.11.2 | SCALANCE W-700 (IEEE 802.11a/b/g): All versions | SCALANCE W-700 (IEEE 802.11n): All versions prior to v6.2.1 | SCALANCE W1750D: All versions prior to v6.5.1.5-4.3.1.8 | SCALANCE WLC711: All versions prior to v9.21.19.003 | SCALANCE WLC712: All versions prior to v9.21.19.003 | SIMATIC ET200 PRO IM154-6 PN IWLAN: All versions | SIMATIC IWLAN-PB/LINK: All versions | SIMATIC Mobile Panel 277(F) IWLAN: All versions. SINAMICS v20 Smart Access Module: All versions prior to v01.03.01. SIMATIC RF350M: All versions with Summit Client Utility prior to v22.3.5.16 | SIMATIC RF650M: All versions with Summit Client Utility prior to v22.3.5.164.2,CVE-2017-13077; CVE-2017-13078; CVE-2017-13079; CVE-2017-13080; CVE-2017-13081; CVE-2017-13082; CVE-2017-13084; CVE-2017-13086; CVE-2017-13087; CVE-2017-13088,6.8,Medium,CWE-254,Chemical; Energy; Food and Agriculture; Healthcare and Public Health; Transportation; Water and Wastewater,Worldwide,Germany
791,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-318-02A,11/14/2017,2/15/2018,2017,ICSA-17-318-02A,ABB TropOS (Update A),ABB,TropOS,ABB reports that the key reinstallation attacks (KRACK) potentially affect all TropOS broadband mesh routers and bridges operating on Mesh OS release 8.5.2 or prior.,CVE-2017-13077; CVE-2017-13078; CVE-2017-13079; CVE-2017-13080; CVE-2017-13081; CVE-2017-13082; CVE-2017-13084; CVE-2017-13086; CVE-2017-13087; CVE-2017-13088,6.8,Medium,CWE-254,Critical Manufacturing; Energy,Worldwide,Switzerland
790,https://www.cisa.gov/uscert/ics/advisories/ICSMA-17-318-01,11/14/2017,No Updates,2017,ICSMA-17-318-01,Philips IntelliSpace Cardiovascular System and Xcelera System Vulnerability,Philips,IntelliSpace Cardiovascular System and Xcelera System,Philips reports that the vulnerability affects the following versions of the IntelliSpace Cardiovascular and Xcelera cardiac image and information management systems: IntelliSpace Cardiovascular | Version 2.3.0 and prior and Xcelera | R4.1L1 and prior.,CVE-2017-14111,7.2,High,CWE-522,Healthcare and Public Health,Netherlands North America South America Asia Europe Africa Middle East,Netherlands
789,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-313-01,11/9/2017,7/24/2018,2017,ICSA-17-313-01,"AutomationDirect CLICK, C-More, C-More Micro, Do-more Designer, GS Drives, SL-Soft SOLO, DirectSOFT (Update B)",AutomationDirect,"CLICK, C-More, C-More Micro, Do-more Designer, GS Drives, SL-Soft SOLO, DirectSOFT",The following AutomationDirect products are affected: CLICK Programming Software (Part Number C0-PGMSW) Versions 2.10 and prior | C-More Programming Software (Part Number EA9-PGMSW) Versions 6.30 and prior | C-More Micro (Part Number EA-PGMSW) Versions 4.20.01.0 and prior | Do-more Designer Software (Part Number DM-PGMSW) Versions 2.0.3 and prior | GS Drives Configuration Software (Part Number GSOFT) Versions 4.0.6 and prior and SL-SOFT SOLO Temperature Controller Configuration Software (Part Number SL-SOFT) Versions 1.1.0.5 and prior. DirectSOFT Programming Software Versions 6.1 and prior.,CVE-2017-14020,6.7,Medium,CWE-427,Commercial Facilities; Critical Manufacturing; Information Technology,Worldwide,United States
788,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-313-02,11/9/2017,No Updates,2017,ICSA-17-313-02,Schneider Electric InduSoft Web Studio and InTouch Machine Edition,Schneider Electric,InduSoft Web Studio and InTouch Machine Edition,The following versions of InduSoft Web Studio and InTouch Machine Edition an HMI are affected: InduSoft Web Studio v8.0 SP2 Patch 1 and prior versions and InTouch Machine Edition v8.0 SP2 Patch 1 and prior versions.,CVE-2017-14024,9.8,Critical,CWE-121,Commercial Facilities; Critical Manufacturing; Energy; Transportation; Water and Wastewater,Worldwide,France
787,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-306-01,11/2/2017,6/12/2018,2017,ICSA-17-306-01,Siemens SIMATIC PCS 7 (Update A),Siemens,SIMATIC PCS 7,The following versions of SIMATIC PCS 7 - distributed control system are affected: v8.1 all versions prior to v8.1 SP1 with WinCC v7.3 Upd 13 and v8.2 all versions prior to v8.2 SP1.,CVE-2017-6867,4.9,Medium,CWE-20,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany
786,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-306-02,11/2/2017,No Updates,2017,ICSA-17-306-02,Advantech WebAccess,Advantech,WebAccess,The following versions of WebAccess an HMI platform are affected: WebAccess versions prior to V8.2_20170817.,CVE-2017-14016; CVE-2017-12719,7.3,High,CWE-121; CWE-822,Critical Manufacturing; Energy; Water and Wastewater,Taiwan United States Asia East Asia Europe,Taiwan
785,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-304-01,10/31/2017,No Updates,2017,ICSA-17-304-01,ABB FOX515T,ABB,FOX515T,The following versions of FOX515T - communication interface are affected: FOX515T release 1.0.,CVE-2017-14025,6.2,Medium,CWE-20,Communications,Worldwide,Switzerland
784,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-304-02,10/31/2017,No Updates,2017,ICSA-17-304-02,Trihedral Engineering Limited VTScada,Trihedral Engineering Limited,VTScada,Trihedral Engineering Limited reports that the vulnerability affects the following versions of the VTScada HMI and SCADA software: VTScada 11.3.03 and prior.,CVE-2017-14031; CVE-2017-14029,7.8,High,CWE-284; CWE-427,Chemical; Communications; Critical Manufacturing; Energy; Food and Agriculture; Transportation; Water and Wastewater,Canada North America Europe,Canada
783,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-299-01,10/26/2017,No Updates,2017,ICSA-17-299-01,Korenix JetNet,Korenix,JetNet,The following versions of JetNet an Ethernet switch are affected: JetNet5018G version 1.4 | JetNet5310G version 1.4a | JetNet5428G-2G-2FX version 1.4 | JetNet5628G-R version 1.4 | JetNet5628G version 1.4 | JetNet5728G-24P version 1.4 | JetNet5828G version 1.1d | JetNet6710G-HVDC version 1.1e and JetNet6710G version 1.1,CVE-2017-14021; CVE-2017-14027,9.8,Critical,CWE-798; CWE-321,Commercial Facilities; Critical Manufacturing ;Transportation,Worldwide,United States
782,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-299-02,10/26/2017,11/1/2018,2017,ICSA-17-299-02,Rockwell Automation Stratix 5100 (Update A),Rockwell Automation,Stratix 5100,Rockwell Automation reports the vulnerability affects the following wireless access point/workgroup bridge products: Stratix 5100 Version 15.3(3) JC1 and earlier.4.2,CVE-2017-13082,6.9,Medium,CWE-323,Critical Manufacturing; Energy; Water and Wastewater,Worldwide,United States
781,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-292-01,10/19/2017,No Updates,2017,ICSA-17-292-01,SpiderControl MicroBrowser,SpiderControl,MicroBrowser,The following versions of SpiderControl MicroBrowser - touch panel operating system are affected: MicroBrowser Windows XP | Vista 7 | 8 and 10 | Versions 1.6.30.144 and prior.,CVE-2017-14010,8.8,High,CWE-427,Critical Manufacturing,Switzerland Europe,Switzerland
780,https://www.cisa.gov/uscert/ics/advisories/ICSMA-17-292-01,10/19/2017,No Updates,2017,ICSMA-17-292-01,Boston Scientific ZOOM LATITUDE PRM Vulnerabilities,Boston Scientific,ZOOM LATITUDE PRM,The following ZOOM LATITUDE PRM versions are affected: ZOOM LATITUDE PRM – Model 3120 all versions.,CVE-2017-14014; CVE-2017-14012,4.6,Medium,CWE-311; CWE-321,Healthcare and Public Health,United States,United States
779,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-290-01,10/17/2017,No Updates,2017,ICSA-17-290-01,Progea Movicon SCADA/HMI,Progea,Movicon SCADA/HMI,The following versions of Movicon HMI an HMI software platform are affected: Movicon Version 11.5.1181 and prior.,CVE-2017-14017; CVE-2017-14019,6.8,Medium,CWE-427; CWE-428,Critical Manufacturing; Energy; Food and Agriculture; Transportation; Water and Wastewater,India Italy United States Europe,Italy
778,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-285-01,10/12/2017,No Updates,2017,ICSA-17-285-01,ProMinent MultiFLEX M10a Controller,ProMinent,MultiFLEX M10a Controller,The following versions of MultiFLEX Controller - water treatment controller are affected: All versions of MultiFLEX M10a Controller web interface.,CVE-2017-14013; CVE-2017-14007; CVE-2017-14011; CVE-2017-14009; CVE-2017-14005,8.8,High,CWE-602; CWE-352; CWE-200; CWE-613; CWE-620,Water and Wastewater,Worldwide,United States
777,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-285-02,10/12/2017,No Updates,2017,ICSA-17-285-02,"WECON Technology Co., Ltd. LeviStudio HMI Editor",WECON,"Technology Co., Ltd. LeviStudio HMI Editor",The following versions of LEVI Studio HMI Editor an HMI programming software product are affected: LEVI Studio HMI Editor v1.8.1 and prior.,CVE-2017-13999,7.5,High,CWE-121,Critical Manufacturing; Energy; Water and Wastewater,Worldwide,China
776,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-285-03,10/12/2017,No Updates,2017,ICSA-17-285-03,Envitech Ltd. EnviDAS Ultimate,Envitech Ltd.,EnviDAS Ultimate,The following versions of EnviDAS Ultimate - web application for environmental monitoring are affected: EnviDAS Ultimate Versions prior to v1.0.0.5.,CVE-2017-9625,8.2,High,CWE-287,Commercial Facilities; Communications; Water and Wastewater,Worldwide,Israel
775,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-285-04A,10/12/2017,2/1/2018,2017,ICSA-17-285-04A,NXP Semiconductors MQX RTOS (Update A),NXP Semiconductors,MQX RTOS,The following versions of MQX Real-Time Operating System (RTOS) are used in NXP’s ColdFire microcontrollers | Kinetis microcontrollers | i.MX processors and Vybrid processors which are affected by the vulnerabilities listed below.Versions susceptible to Classic Buffer Overflow Vulnerability: MQX RTOS | Version 5.0 and prior versions and Versions susceptible to Out-of-Bounds Read Vulnerability: MQX RTOS | Version 4.1 and prior versions.,CVE-2017-12718; CVE-2017-12722,8.1,High,CWE-120; CWE-125,Communications; Critical Manufacturing; Healthcare and Public Health; Transportation,Worldwide,Netherlands
774,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-285-05,10/12/2017,No Updates,2017,ICSA-17-285-05,Siemens BACnet Field Panels,Siemens,BACnet Field Panels,Siemens reports that the vulnerabilities affect the following BACnet field panels: APOGEE PXC BACnet Automation Controllers: All versions prior to V3.5. TALON TC BACnet Automation Controllers: All versions prior to V3.5.,CVE-2017-9946; CVE-2017-9947,7.5,High,CWE-288; CWE-22,Commercial Facilities,Worldwide,Germany
773,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-283-01,10/10/2017,No Updates,2017,ICSA-17-283-01,LAVA Computer MFG Inc. Ether-Serial Link,LAVA Computer MFG Inc.,Ether-Serial Link,The following versions of LAVA Computer MFG Inc.’s Ether-Serial Links (ESL) are affected: All ESLs running firmware versions 6.01.00/29.03.2007 and prior versions.,CVE-2017-14003,8.1,High,CWE-290,Commercial Facilities; Critical Manufacturing,Worldwide,Canada
772,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-283-02,10/10/2017,10/12/2017,2017,ICSA-17-283-02,JanTek JTC-200,JanTek,JTC-200,The following versions of JTC-200 - TCP/IP converter are affected: JTC-200 all versions.,CVE-2016-5789; CVE-2016-5791,9.8,Critical,CWE-352; CWE-287,Critical Manufacturing,Taiwan Asia Europe,Taiwan
771,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-278-01A,10/5/2017,10/10/2017,2017,ICSA-17-278-01A,GE CIMPLICITY (Update A),GE,CIMPLICITY,The following versions of CIMPLICITY an HMI/SCADA management platform are affected: CIMPLICITY Versions 9.0 and prior. From CIMPLICITY 6.1 forward - users have been advised that S90 drivers were no longer supported and an alternate tool was provided. CIMPLICITY 9.5 removed the drivers from the product.,CVE-2017-12732,6.8,Medium,CWE-121,Chemical; Critical Manufacturing; Dams; Energy; Food and Agriculture; Government Facilities; Transportation; Water and Wastewater,Worldwide,United States
770,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-278-02,10/5/2017,No Updates,2017,ICSA-17-278-02,Siemens 7KT PAC1200 Data Manager,Siemens,7KT PAC1200 Data Manager,Siemens reports that the vulnerability affects the following versions of the 7KT PAC1200 data manager (7KT1260) from the SENTRON portfolio: 7KT PAC1200 data manager: All versions prior to V2.03.,CVE-2017-9944,9.8,Critical,CWE-288,Energy,Worldwide,Germany
769,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-271-01B,9/28/2017,2/27/2018,2017,ICSA-17-271-01B,"Siemens Ruggedcom ROS, SCALANCE (Update B)",Siemens,"Ruggedcom ROS, SCALANCE",Siemens reports that the vulnerability affects the following devices using the Ruggedcom Discovery Protocol (RCDP): RUGGEDCOM ROS for RSL910 devices: All versions prior to ROS v5.0.1 | RUGGEDCOM ROS for all other devices: All versions prior to ROS v4.3.4 | SCALANCE XB-200/XC-200/XP-200/XR300-WG: All versions between v3.0 and v3.0.2 | SCALANCE XR-500/XM-400: All versions between v6.1 and 6.1.1.,CVE-2017-12736,8.8,High,CWE-284,Energy; Healthcare and Public Health; Transportation,Worldwide,Germany
768,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-264-01,9/21/2017,No Updates,2017,ICSA-17-264-01,"Schneider Electric InduSoft Web Studio, InTouch Machine Edition",Schneider Electric,"InduSoft Web Studio, InTouch Machine Edition",Schneider Electric reports that the vulnerability affects the following InduSoft Web Studio products: InduSoft Web Studio v8.0 SP2 or prior and InTouch Machine Edition v8.0 SP2 or prior.,CVE-2017-13997,9.8,Critical,CWE-306,Critical Manufacturing; Energy; Healthcare and Public Health; Water and Wastewater,Worldwide,France
767,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-264-02,9/21/2017,No Updates,2017,ICSA-17-264-02,"Ctek, Inc. SkyRouter","Ctek, Inc.",SkyRouter,The following versions of SkyRouter - wireless and automation solution are affected: SkyRouter Series 4200 and 4400 all versions prior to V6.00.11.,CVE-2017-14000,8.6,High,CWE-287,Commercial Facilities; Communications; Food and Agriculture; Transportation; Water and Wastewater,Worldwide,United States
766,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-264-03,9/21/2017,No Updates,2017,ICSA-17-264-03,Digium Asterisk GUI,"Digium, Inc.",Asterisk GUI,The following versions of Asterisk GUI - framework for configuring graphical user interfaces are affected: Asterisk GUI 2.1.0 and prior.,CVE-2017-14001,8.8,High,CWE-78,Commercial Facilities; Communications; Critical Manufacturing,Worldwide,United States
765,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-264-04,9/21/2017,No Updates,2017,ICSA-17-264-04,iniNet Solutions GmbH SCADA Webserver,iniNet Solutions GmbH,SCADA Webserver,The following versions of iniNet Solutions GmbH’s SCADA Webserver - third-party web-based server software are affected: iniNet Webserver all versions prior to V2.02.0100.,CVE-2017-13995,10,Critical,CWE-287,Critical Manufacturing,Worldwide,Switzerland
764,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-234-05,9/21/2017,No Updates,2017,ICSA-17-234-05,Saia Burgess Controls PCD Controllers,Saia Burgess Controls,PCD Controllers,ProductsSaia Burgess Controls reports that the vulnerability affects the following PCD Controllers: PCD firmware versions prior to 1.28.16 or 1.24.69.,CVE-2017-9628,5.3,Medium,CWE-200,Chemical; Energy,Worldwide,Switzerland
763,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-262-01,9/19/2017,No Updates,2017,ICSA-17-262-01,PHOENIX CONTACT mGuard Device Manager,PHOENIX CONTACT,mGuard Device Manager,The following versions of mGuard Device Manager - device management software for mGuard devices are affected: mGuard Device Manager 1.8.0 and older.,CVE-2017-10102; CVE-2017-10116; CVE-2017-10078; CVE-2017-10115; CVE-2017-10118; CVE-2017-10176; CVE-2017-10198; CVE-2017-10135; CVE-2017-10053; CVE-2017-10108,9,Critical,CWE-284,Communications; Critical Manufacturing; Information Technology,Worldwide,Germany
762,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-257-01,9/14/2017,No Updates,2017,ICSA-17-257-01,LOYTEC LVIS-3ME,LOYTEC,LVIS-3ME,The following versions of LVIS-3ME an HMI Touch Panel are affected: LVIS-3ME versions prior to 6.2.0.,CVE-2017-13996; CVE-2017-13992; CVE-2017-13994; CVE-2017-13998,8.1,High,CWE-79; CWE-331; CWE-522; CWE-23,Critical Manufacturing; Energy,Worldwide,Austria
761,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-255-01,9/12/2017,No Updates,2017,ICSA-17-255-01,mySCADA myPRO,mySCADA,myPRO,The following versions of myPRO an HMI/SCADA management platform are affected: myPRO Versions 7.0.26 and prior.,CVE-2017-12730,7.8,High,CWE-428,Energy Food and Agriculture; Transportation; Water and Wastewater,Worldwide,Czech Republic
760,https://www.cisa.gov/uscert/ics/advisories/ICSMA-17-255-01,9/12/2017,No Updates,2017,ICSMA-17-255-01,Philips' IntelliView MX40 Patient Worn Monitor (WLAN) Vulnerabilities,Philips,IntelliView MX40 Patient Worn Monitor (WLAN),The following versions of the IntelliVue MX40 Patient Worn Monitor are affected: IntelliVue MX40 Patient Worn Monitor (WLAN only) all versions prior to Version B.06.18. Vulnerabilities only affect MX40 WLAN monitors operating on a user-provided 802.11 wireless LAN. MX40 monitors with 1.4 GHz and 2.4 GHz Smart-Hopping radios are not affected.,CVE-2017-9657; CVE-2017-9658,6.5,Medium,CWE-460; CWE-755,Healthcare and Public Health,Australia Canada Netherlands United States North America South America Asia Europe Africa Middle East,Netherlands
759,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-250-01,9/7/2017,No Updates,2017,ICSA-17-250-01,SpiderControl SCADA Web Server,SpiderControl,SCADA Web Server,The following versions of SCADA Web Server - software management platform are affected: SCADA Web Server Version 2.02.0007 and prior.,CVE-2017-12728,5.3,Medium,CWE-269,Critical Manufacturing,Switzerland Europe,Switzerland
