icsad_ID,hyperlink,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
153,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-305-01,10/31/2012,8/27/2018,2012,ICSA-12-305-01,Siemens SiPass Server Buffer Overflow,Siemens,SiPass Server,SiPass integrated MP2.6 and earlier,CVE-2012-5409,10,High,CWE-121,Multiple Critical sectors; Energy,Germany,Germany
152,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-297-02,10/23/2012,9/5/2018,2012,ICSA-12-297-02,Korenix Jetport 5600 Series Hard-coded Credentials,Korenix,Jetport 5600 Series,JetPort 5600; all versions,CVE-2012-4577; CVE-2012-4577,10,High,CWE-259,Communications; Information Technology,China Spain Taiwan United States,Taiwan
151,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-234-01,10/15/2012,8/23/2018,2012,ICSA-12-234-01,GE Intelligent Platforms Proficy Real-Time Information Portal Vulnerabilities,GE,Intelligence Platforms Proficy Real-Time Information Portal,Intelligent Platforms Proficy Real-Time Information Portal v2.6; Intelligent Platforms Proficy Real-Time Information Portal v3.0; Intelligent Platforms Proficy Real-Time Information Portal v3.0 SP1; Intelligent Platforms Proficy Real-Time Information Portal v3.5; andIntelligent Platforms Proficy Real-Time Information Portal v3.5 SP1. Note: These vulnerabilities do not affect versions of Proficy Real-Time Information Portal v2.5 and earlier,CVE-2012-3010; CVE-2012-3021; CVE-2012-3026,7.1,High,CWE-20,Multiple Critical Sectors,Worldwide,United States
150,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-283-01,10/12/2012,8/30/2013,2012,ICSA-12-283-01,Siemens S7-1200 Web Application Cross Site Scripting,Siemens,S7-1200 Web Application,S7-1200 PLCs versions: V2.x V3.0.0 and V3.0.1,CVE-2012-3040,8.3,High,CWE-79,Chemical,Germany Asia,Germany
149,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-283-02,10/9/2012,9/6/2018,2012,ICSA-12-283-02,WellinTech KingView User Credentials Not Securely Hashed,WellinTech,KingView User Credentials,KingView 6.5.3 and previous,CVE-2012-4899,6.8,Medium,CWE-311,Commercial Facilities; Energy; Water and Wastewater,China Japan Singapore Taiwan United States Europe,China
148,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-265-01,9/28/2012,4/30/2013,2012,ICSA-12-265-01,Emerson DeltaV Buffer Overflow,Emerson,DeltaV,DeltaV V9.3.1; V10.3.1; V11.3; and V11.3.1,CVE-2012-3035,5,Medium,CWE-120,Commercial Facilities; Energy; Government Facilities,Worldwide,United States
147,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-271-02,9/27/2012,4/22/2013,2012,ICSA-12-271-02,Optimalog Optima PLC Multiple Vulnerabilities,Optimalog,Optima PLC,Optima PLC 1.5.2 and prior,CVE-2012-5048; CVE-2012-5049,5,Medium,CWE-835; CWE-476,Multiple Critical Sectors,France Europe,France
146,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-263-02,9/19/2012,4/22/2013,2012,ICSA-12-263-02,ORing Industrial Networking IDS-5042/5042+ Hard-Coded Credential Vulnerability,ORing,Industrial Network IDS-5042/5042+,Industrial DIN-Rail Device Server IDS-5042 all versions and Industrial DIN-Rail Device Server IDS-5042+ all versions. Note: Other ORing Industrial Networking products may also be affected by this vulnerability.,CVE-2012-4577; CVE-2012-4577,10,NA,CWE-259,Energy; oil and gas; Transportation,China Korea Taiwan United States Asia Europe,Taiwan
145,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-263-01,9/19/2012,5/6/2013,2012,ICSA-12-263-01,Siemens S7-1200 Insecure Storage of HTTPS CA Certificate,Siemens,S7-1200,SIMATIC S7-1200 V2.x,CVE-2012-3037,9.3,High,CWE-311,Chemical,Worldwide,Germany
144,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-258-01,9/14/2012,5/1/2013,2012,ICSA-12-258-01,IOServer OPC Server Multiple Vulnerabilities,IOServer,OPC Server,IOServer OPC Server 1.0.18.0 and earlier,CVE-2012-4680,7.8,High,CWE-538; CWE-22; CWE-219,Commercial Facilities; Energy; oil and gas; Government Facilities,Australia United States Asia Europe,Australia
143,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-262-01,9/12/2012,9/5/2018,2012,ICSA-12-262-01,Fultek WinTr Directory Traversal,Fultek,WinTR,WinTr Scada 4.0.5 and earlier,CVE-2012-3011,7.8,High,CWE-23,Critical Manufacturing,Turkey,Turkey
142,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-256-01,9/12/2012,8/29/2014,2012,ICSA-12-256-01,Siemens WinCC WebNavigator Multiple Vulnerabilities,Siemens,WinCC WebNavigator,WebNavigator component of the following versions of WinCC:WinCC 7.0 SP3 and earlier,CVE-2012-3031; CVE-2012-3028; CVE-2012-3030; CVE-2012-3032; CVE-2012-3034,7.7,High,CWE-352; CWE-425; CWE-618; CWE-79; CWE-89,Chemical; Energy; oil and gas; Food and Agriculture; Water and Wastewater,Worldwide,Germany
141,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-150-01,9/7/2012,9/6/2018,2012,ICSA-12-150-01,Honeywell HMIWeb Browser Buffer Overflow Vulnerability,Honeywell,HMIWeb Browser,Honeywell Process Solutions: Experion Releases R400.x R31x R30x and R2xx Honeywell Building Solutions:Enterprise Building Manager Releases R400 and R410.1 and SymmetrE R410.1 release Honeywell Environmental Combustion & Controls  andSymmetrE R410.1 release,CVE-2012-0254,7.5,NA,CWE-121,Energy,South America,United States
140,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-251-01,9/7/2012,1/2/2014,2012,ICSA-12-251-01,RealFlex RealWinDemo DLL Hijack,RealFlex Technologies,RealWinDemo,RealWinDemo 2.1.12 and prior RealWin 2.1.12 and prior andFlexView 3.1.85 and prior,CVE-2012-3004,6.2,Medium,CWE-427,Chemical; Critical Manufacturing; Communications; Energy; oil and gas; Transportation; Maritime; Water and Wastewater,India Mexico Nigeria Philippines Saudi Arabia,United States
139,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-249-01,9/5/2012,4/30/2013,2012,ICSA-12-249-01,Arbiter Systems Power Sentinel Denial-of-Service Vulnerability,Arbiter Systems,Power Sentinel,Model 1133A Power Sentinel firmware versions 09 Jun 2012 and earlier,CVE-2012-3012,7.8,High,CWE-410,Energy,United States South America Europe,United States
138,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-249-02,9/5/2012,9/6/2018,2012,ICSA-12-249-02,WAGO IO 758 Default Linux Credentials,WAGO,IO 758,"I/O System 758, Model 758-870 I/O System 758 Model 758-874 I/O System 758  Model 758-875 and I/O System 758 Model 758-876",CVE-2012-3013,10,High,CWE-287; CWE-259,Commercial Facilities; Energy; Government Facilities; Transportation,China Germany India Poland Switzerland,Germany
137,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-249-03,9/5/2012,10/28/2013,2012,ICSA-12-249-03,InduSoft ISSymbol ActiveX Control Buffer Overflow,InduSoft,ISSymbol ActiveX Control,InduSoft ISSymbol ActiveX Control (Build 301.1009.2904.0) InduSoft Thin Client Version 7.0 and InduSoft Web Studio Version 7.0B,CVE-2011-0340; CVE-2011-0340,7.5,High,CWE-122,Chemical; Food and Agriculture,Worldwide,United States
136,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-243-01,8/30/2012,4/30/2013,2012,ICSA-12-243-01,GarrettCom - Use of Hard-Coded Password,GarrettCom,Hard-Coded Password,MNS-6K Rel v4.1.14 and prior and MNS-6K Rel v14.1.14 SECURE and prior,CVE-2012-3014,7.7,High,CWE-259,Defense Industrial Base; Energy; Transportation,China India United States South America Asia Europe Middle East,United States
135,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-227-01,8/14/2012,5/7/2013,2012,ICSA-12-227-01,Siemens COMOS Database Privilege Escalation Vulnerability,Siemens,COMOS Database,"COMOS versions: all versions earlier than Version 9.1 Version 9.1: Patch 412 and earlier Version 9.2: Update 3 Patch 022 and earlier, and Version 10: Patch 004 and earlier",CVE-2012-3009,8.5,High,CWE-250,Multiple Critical Sectors,Worldwide,Germany
134,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-214-01,8/1/2012,5/8/2013,2012,ICSA-12-214-01,Siemens Synco OZW Default Password,Siemens,Synco OZW,"Synco models:OZW775OZW672.01 OZW672.04 OZW672.16OZW772.01 OZW772.04 OZW772.16 OZW772.250. For the listed products, all firmware versions prior to Version 4 do not force users to change their password on initial login.",CVE-2012-3020,9,High,CWE-262,Commercial Facilities; Government Facilities,Worldwide,Germany
133,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-212-02,7/30/2012,5/8/2013,2012,ICSA-12-212-02,Siemens SIMATIC S7-400 PN CPU DoS,Siemens,SIMATIC S7-400 PN CPU,S7-400 CPU family with firmware Versions 6.0.1 and 6.0.2 CPU 412-2 PN (6ES7412-2EK06-0AB0) CPU 414-3 PN/DP (6ES7414-3EM06-0AB0) CPU 414F-3 PN/DP (6ES7414-3FM06-0AB0) CPU 416-3 PN/DP (6ES7416-3ES06-0AB0) CPU 416F-3 PN (6ES7416-3FS06-0AB0) Another vulnerability affects the following products within the S7-400 CPU family with firmware Version 5: CPU 414-3 PN/DP (6ES7414-3EM05-0AB0) CPU 416-3 PN/DP (6ES7416-3ER05-0AB0)CPU 416F-3 PN/DP (6ES7416-3FR05-0AB0),CVE-2012-3016,7.8,High,CWE-404,Chemical,Worldwide,Germany
132,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-212-01,7/30/2012,8/28/2013,2012,ICSA-12-212-01,ICONICS GENESIS32/BizViz Security Configurator Authentication Bypass Vulnerability,ICONICS,GENESIS32/BizVis Security Configurator,Genesis32: Genesis32 V9.22 and previous. BizViz V9.22 and previous.,CVE-2012-3018,6,Medium,CWE-261,Commercial Facilities; Energy; oil and gas; Government Facilities; Water and Wastewater,Australia China Czech Republic Germany France United Kingdom India Italy Netherlands United States Asia Europe,United States
131,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-205-02,7/23/2012,5/8/2013,2012,ICSA-12-205-02,Siemens SIMATIC STEP 7 DLL Vulnerability,Siemens,SIMATIC STEP 7,SIMATIC STEP 7 versions prior to V5.5 Service Pack 1 (V5.5.1 equivalent) and SIMATIC PCS 7 versions before and including V7.1 SP3,CVE-2012-3015,6.9,Medium,CWE-114,Chemical; Commercial Facilities; Energy; oil and gas; Government Facilities; Water and Wastewater,Worldwide,Germany
130,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-205-01,7/23/2012,5/8/2013,2012,ICSA-12-205-01,Siemens WinCC Insecure SQL Server Authentication,Siemens,WinCC SQL Server,SIMATIC WinCC versions older than V7.0 SP2 Update 1 (V 7.0.2.1) and SIMATIC PCS 7 versions older than V7.1 SP2.,CVE-2010-2772,10,High,CWE-798,Chemical; Energy; oil and gas; Food and Agriculture; Water and Wastewater,Worldwide,Germany
129,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-201-01,7/19/2012,5/6/2015,2012,ICSA-12-201-01,OSIsoft PI OPC DA Interface Buffer Overflow,OSIsoft,PI OPC DA Interface,All versions of PI OPC DA Interface prior to Version 2.3.20.9.,CVE-2012-3008,6.3,Medium,CWE-121,Multiple Critical Sectors,Worldwide,United States
128,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-177-02,7/13/2012,5/1/2013,2012,ICSA-12-177-02,Invensys Wonderware InTouch 10 DLL Hijack,Invensys,Wonderware InTouch 10,InTouch 2012 and all prior versions Wonderware Application Server 2012 and prior versions Wonderware Information Server 4.5 and prior versions Foxboro Control Software 4.0 and all prior versions InFusion CE/FE/SCADA 2.5 and all prior versions InBatch 9.5 SP1 and all prior versions andWonderware Historian 10.0 SP1 and all prior versions.,CVE-2012-3005,6.6,Medium,CWE-427,Chemical; Energy; Water and Wastewater,Worldwide,United States
127,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-185-01,7/3/2012,9/2/2014,2012,ICSA-12-185-01,WellinTech KingView Multiple Vulnerabilities,WellinTech,KingView,WellinTech KingView 6.53 and WellinTech King Historian 3.0.,CVE-2012-1830; CVE-2012-1831; CVE-2012-1832; CVE-2012-2560; CVE-2012-2559,9,High,CWE-121; CWE-122; CWE-125; CWE-35; CWE-119,Commercial Facilities; Energy; Water and Wastewater,China Japan Singapore Taiwan United States Europe,China
126,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-131-02,6/27/2012,8/21/2018,2012,ICSA-12-131-02,GE Intelligent Platforms Proficy HTML Help Vulnerabilities (Update A),GE,Intelligence Platforms Proficy HTML Help,Proficy Historian: Versions 4.5 4.0 3.5 and 3.1Proficy HMI/SCADA – iFIX: Versions 5.1 and 5.0 Proficy Pulse: Version 1.0 Proficy Batch Execution: Version 5.6SI7 I/O Driver: Versions between 7.20 and 7.424.2,CVE-2012-2515; CVE-2012-2516,8.8,High,CWE-77; CWE-121,Multiple Critical Sectors,Worldwide,United States
125,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-179-01,6/27/2012,9/6/2018,2012,ICSA-12-179-01,Pro-Face Pro-Server EX Vulnerabilities,Pro-face,Pro-Server EX,"Data management software Pro-Server EX versions 1.00.00 through 1.30.00, and HMI screen editor and logic programming software GP-Pro EX and related software WinGP Versions 2.00.00 through 3.01.100.",CVE-2012-3792; CVE-2012-3793; CVE-2012-3794; CVE-2012-3795; CVE-2012-3796; CVE-2012-3797,5.1,Medium,CWE-788; CWE-119; CWE-680; CWE-388,Energy; oil and gas; Food and Agriculture; Water and Wastewater,Japan Asia,United States
124,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-171-01,6/19/2012,9/6/2018,2012,ICSA-12-171-01,Wonderware SuiteLink Unallocated Unicode String Vulnerability,Invensys,Wonderware SuiteLink,Slssvc service less than or equal to Version 54.x.x.x is vulnerable and slssvc service equal to or greater than Version 58.x.x.x is not vulnerable. Slssvc service Versions 55–57 were never publicly released. InTouch 2012 and Wonderware Application Server 2012 are not vulnerable to crash but will show excessive resource consumption if exploited.,CVE-2012-3007,7.1,High,CWE-121,Chemical; Energy; Water and Wastewater,Worldwide,United States
123,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-146-01A,6/18/2012,9/6/2018,2012,ICSA-12-146-01A,RuggedCom Weak Cryptography for Password Vulnerability (Update A),RuggedCom,RuggedCom Cryptography for Password,"RuggedCom RuggedSwitch or RuggedServer devices are affected using the following versions of ROS:3.2.x and earlier, and3.3.x and above",CVE-2012-1803,8.5,High,CWE-261,Communications; Energy; Transportation; Government Facilities,Worldwide,Germany
122,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-167-01,6/15/2012,9/6/2018,2012,ICSA-12-167-01,Innominate MGuard Weak HTTPS and SSH Keys,Innominate,Mguard,mGuard Smart—HW-101020 HW-101050 BD-101010 BD-101020 mGuard PCI—HW-102020 HW-102050 BD-111010 BD-111020 mGuard Industrial RS—HW-105000 BD-501000 BD-501010 BD-501020 mGuard Blade—HW-104020 HW-104050 mGuard Delta—HW-103050 BD-201000 EAGLE mGuard—HW-201000 BD-301010 All products manufactured prior to 2006,CVE-2012-3006,7.1,High,CWE-310,Critical Manufacturing; Communications; Energy; Healthcare and Public Health; Transportation; Water and Wastewater,Germany,Germany
121,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-158-01,6/6/2012,1/30/2014,2012,ICSA-12-158-01,Siemens WinCC Multiple Vulnerabilities,Siemens,SIMATIC WinCC,Siemens WinCC 7.0 SP3 web server and web applications are affected,CVE-2012-2595; CVE-2012-2596; CVE-2012-2597; CVE-2012-2598; CVE-2012-3003,4.9,Medium,CWE-22; CWE-79; CWE-91,Chemical; Energy; oil and gas; Food and Agriculture; Water and Wastewater,Worldwide,Germany
120,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-138-01,5/30/2012,4/30/2013,2012,ICSA-12-138-01,Emerson DeltaV Multiple Vulnerabilities,Emerson,DeltaV,DeltaV and DeltaV Workstations V9.3.1 V10.3.1 V11.3 and V11.3.1 DeltaV ProEssentials Scientific Graph and V5.0.0.6,CVE-2012-1814; CVE-2012-1815; CVE-2012-1816; CVE-2012-1817; CVE-2012-1818,6.4,Medium,CWE-618; CWE-79; CWE-89; CWE-119; CWE-400,Commercial Facilities; Energy; Government Facilities,Worldwide,United States
119,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-145-02,5/24/2012,9/6/2018,2012,ICSA-12-145-02,xArrow Multiple Vulnerabilities,xArrow,xArrow,xArrowxArrow software versions older than Version 3.4.1,CVE-2012-2426; CVE-2012-2427; CVE-2012-2428; CVE-2012-2429,8.5,High,CWE-476; CWE-122; CWE-125; CWE-119,Commercial Facilities; Food and Agriculture; Water and Wastewater,China Indonesia India Latvia Poland,China
118,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-145-01,5/24/2012,5/1/2013,2012,ICSA-12-145-01,Measuresoft ScadaPro DLL Hijack,Measuresoft,ScadaPro,ScadaPro Server prior to Version 4.0.0 and ScadaPro Client prior to Version 4.0.0.,CVE-2012-1824,6,Medium,CWE-427,Pharmaceutical; Energy; oil and gas,Ireland,Ireland
117,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-137-02,5/16/2012,9/6/2018,2012,ICSA-12-137-02,Advantech Studio ISSymbol ActiveX Buffer Overflow,Advantech,Studio ISSymbol ActiveX,"Advantech ISSymbol ActiveX Control 61.6.0.0, and Advantech Studio 6.1 SP6 Build 61.6.01.05",CVE-2011-0340; CVE-2011-0340,4.3,Medium,CWE-119,Commercial Facilities; Energy; Government Facilities; Water and Wastewater,Worldwide,Taiwan
116,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-131-01,5/10/2012,5/1/2013,2012,ICSA-12-131-01,Progea Movicon Memory Corruption Vulnerability,Progea,Movicon,Movicon versions prior to 11.3.,CVE-2012-1804,7.8,High,CWE-119,Energy,India United States Europe,Italy
115,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-129-01,5/8/2012,9/6/2018,2012,ICSA-12-129-01,WellinTech KingSCADA Insecure Password Encryption,WellinTech,KingSCADA,WellinTech KingSCADA 3.0.,CVE-2012-1977,7.2,High,CWE-311,Commercial Facilities; Energy; Water and Wastewater,China Japan Singapore Taiwan United States Europe,China
114,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-122-01,5/1/2012,4/18/2013,2012,ICSA-12-122-01,WellinTech KingView DLL Hijack Vulnerability,WellinTech,KingView DLL,WellinTech KingView 6.53,CVE-2012-1819,9.3,High,CWE-427,Commercial Facilities; Energy; Water and Wastewater,China Japan Singapore Taiwan United States Europe,China
113,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-030-01A,4/18/2012,9/6/2018,2012,ICSA-12-030-01A,Siemens SIMATIC WinCC Vulnerabilities (UPDATE A),Siemens,SIMATIC WinCC,WinCC flexible versions 2004 2005 2007 2008 WinCC V11 (TIA portal)Multiple SIMATIC HMI panels (TP OP MP Comfort Panels Mobile Panels) WinCC V11 Runtime Advanced WinCC flexible Runtime.The following related products are not affected: WinCC V11 (TIA Portal) Basic WinCC V11 (TIA Portal) Runtime Professional WinCC V6.x and V7.x,CVE-2011-4508; CVE-2011-4509; CVE-2011-4510; CVE-2011-4511; CVE-2011-4512; CVE-2011-4513; CVE-2011-4514; CVE-2011-4875; CVE-2011-4876; CVE-2011-4877; CVE-2011-4878; CVE-2011-4879,7.9,High,CWE-287; CWE-255; CWE-79; CWE-94; CWE-20; CWE-134; CWE-399; CWE-22; CWE-119 ,Chemical; Energy; oil and gas; Food and Agriculture; Water and Wastewater,Worldwide,Germany
112,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-095-01A,4/12/2012,4/16/2013,2012,ICSA-12-095-01A,ABB Multiple Components Buffer Overflow (UPDATE),ABB,Multiple Components,WebWare Server: All versions of Data Collector and Interlink WebWare SDK: All versionsABB Interlink Module: All versionsS4 OPC Server: All versions QuickTeach: All versionsRobotStudio S4: All versionsRobotStudio Lite: All versions.,CVE-2012-1801,7.7,High,CWE-119,Critical Manufacturing,Worldwide,Switzerland
111,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-102-02,4/12/2012,9/6/2018,2012,ICSA-12-102-02,Koyo Ecom Modules Vulnerabilities,Koyo,Ecom Module,DirectLogic DL205 Series Programmable Logic Controllers H2-ECOM (For DirectLogic DL205 Series Programmable Logic Controllers) H2-ECOM-F (For DirectLogic DL205 Series Programmable Logic Controllers) H2-ECOM100 (For DirectLogic DL205 Series Programmable Logic Controllers)DirectLogic DL06 Series Programmable Logic Controllers H0-ECOM (For DirectLogic DL06 Series Programmable Logic Controllers) H0-ECOM100 (For DirectLogic DL06 Series Programmable Logic Controllers). DirectLogic DL405 Series Programmable Logic Controllers H4-ECOM (For DirectLogic DL405 Series Programmable Logic Controllers) H4-ECOM-F (For DirectLogic DL405 Series Programmable Logic Controllers) H4-ECOM100 (For DirectLogic DL405 Series Programmable Logic Controllers),CVE-2012-1805; CVE-2012-1806; CVE-2012-1808; CVE-2012-1809,8.1,High,CWE-119; CWE-306; CWE-521,Multiple Critical Sectors,Australia North America South America Europe,Australia
110,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-102-01,4/11/2012,8/23/2018,2012,ICSA-12-102-01,Certec atvise webMI2ADS Vulnerabilities,Certec EDV GmbH,atvise Server,Certec webMI2ADS – All versions prior to Version 2.0.2 are affected,CVE-2011-4880; CVE-2011-4881; CVE-2011-4882,5,Medium,CWE-22; CWE-732; CWE-476; CWE-400,Commercial Facilities,Austria Germany Israel Italy Switzerland,Austria
109,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-102-03,4/11/2012,9/6/2018,2012,ICSA-12-102-03,MICROSYS PROMOTIC Use After Free Vulnerability,MICROSYS,PROMOTIC,PROMOTIC versions prior to Version 8.1.7.,CVE-2011-4874,7.9,High,CWE-416,Energy; Water and Wastewater,Bulgaria Hungary Poland Romania Serbia Slovenia,Czech Republic
108,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-102-05,4/11/2012,5/8/2013,2012,ICSA-12-102-05,Siemens Scalance S Multiple Security Vulnerabilities,Siemens,Scalance S,Scalance S602 V2Scalance S612 V2 Scalance S613 V2,CVE-2012-1799; CVE-2012-1800,8.1,High,CWE-1121; CWE-307,Chemical; Defense Industrial Base; Energy; Transportation,Asia Europe,Germany
